fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	min_gain_to_split	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220423 113608	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	51	TRUE	0,144364004	0,201599068	7849	777	0,015250524	0,200914175	0,278432694	0,02101342	13070000	184
20220423 113002	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	109	TRUE	0,275725617	0,34295403	6258	116	0,044541478	1,036159075	73,61394287	0,021702362	13060000	168
20220423 114815	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	94	TRUE	0,254091568	0,943164242	7838	273	0,080538781	0,105887587	99,59895382	0,020384362	13052000	203
20220423 102758	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	104	TRUE	0,035171235	0,378336322	1844	329	0,033961077	16,61903509	79,16709467	0,017254972	13051000	64
20220423 102210	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	353	TRUE	0,046218984	0,216904511	7796	258	0,013841559	19,19130164	34,92696225	0,014666744	13047000	57
20220423 101630	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	102	TRUE	0,094408188	0,237910711	1346	113	0,063895351	16,63321382	45,97261075	0,017184905	12990000	50
20220423 113041	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	52	TRUE	0,245374818	0,291004525	6627	389	0,012086074	0,541678381	9,230396861	0,016450194	12965000	170
20220423 110311	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	143	TRUE	0,113017918	0,986465929	2428	742	0,024341015	10,26841706	99,53428969	0,012023518	12936000	125
20220423 104720	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	22	TRUE	0,150937383	0,605103118	148	124	0,029507585	7,539843004	25,05348548	0,014592581	12887000	91
20220423 112544	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	175	TRUE	0,195132442	0,251328646	4349	1021	0,057252856	2,623680785	10,82344269	0,019201217	12878000	152
20220423 104339	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	869	TRUE	0,015050313	0,934730891	7030	208	0,06121549	7,888716743	26,57808023	0,012500318	12871000	82
20220423 104743	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	43	TRUE	0,232865163	0,850915812	2548	198	0,014164594	0,010065685	1,338002444	0,012937552	12812000	92
20220423 112627	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	50	TRUE	0,295799744	0,678104766	6175	799	0,158188842	0,018891917	81,82207953	0,021554093	12793000	155
