fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220418 232254	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	20	TRUE	0.29251794280524	0.99950815487823	7218	19	0.0160204526009985	13135000	75
20220418 232306	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	30	TRUE	0.297308967898908	0.998663905126931	8000	432	0.0186618523559337	13630000	76
20220418 232319	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	24	TRUE	0.233171159914456	0.998269603949728	8000	485	0.0278285335273358	11554000	77
20220418 232601	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	427	TRUE	0.0102868839207249	0.554233239141817	4663	603	0.0177449648974227	13665000	78
20220418 232844	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	666	TRUE	0.01062951115384	0.330205303446986	6035	303	0.0143936826317449	13508000	79
20220418 233230	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	783	TRUE	0.0106395658836	0.546810362107924	4114	443	0.0137665388707615	13923000	80
20220418 233241	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	14	TRUE	0.279250577585902	0.999875595776632	7998	349	0.0144423918221877	12877000	81
20220418 233549	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	902	TRUE	0.0101230524775888	0.359155754280109	6474	16	0.0166813252363272	13638000	82
20220418 233857	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	839	TRUE	0.0101118815530476	0.200106059326046	4589	895	0.0111516780681398	13022000	83
20220418 233924	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	94	TRUE	0.0596808879892675	0.914520753492127	7997	450	0.0183599308379224	13172000	84
20220418 233936	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	15	TRUE	0.283154839245679	0.999953382208817	6606	623	0.0186564698531712	12504000	85
20220418 233948	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	29	TRUE	0.25468073962677	0.953522734828608	7996	18	0.0210145391920487	12995000	86
20220418 234322	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	836	TRUE	0.0103136881053699	0.366738300429583	4248	63	0.014813932294989	13741000	87
20220418 234631	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	634	TRUE	0.0105790697040011	0.359376943729027	3885	264	0.0135797383980915	13898000	88
20220418 234824	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	521	TRUE	0.0123352768067434	0.587789690149721	3408	17	0.0140180501317225	13646000	89
20220418 234851	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	105	TRUE	0.0917112383951839	0.207429277676369	7820	997	0.0173261086329825	13113000	90
20220418 234910	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	65	TRUE	0.137534743056648	0.990972816022346	6552	16	0.0169282430744991	13273000	91
20220418 234924	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	29	TRUE	0.299425327145799	0.618466992784623	7993	1023	0.0143216795696133	12592000	92
20220418 235058	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	299	TRUE	0.018922172684203	0.605466796077395	4619	792	0.0155600510888151	13804000	93
