fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 212345	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	21	TRUE	0.255246127080696	0.743711124062704	6837	328	0.0173507181810287	13068000	97
20220423 212954	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	696	TRUE	0.0102653486365914	0.847171801559097	1583	1010	0.0106350684730646	13178000	98
20220423 213301	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	661	TRUE	0.0100666675816306	0.888799902864999	5580	1024	0.0167106778926853	13355000	99
20220423 213512	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	372	TRUE	0.0101183570461499	0.761325601603239	7147	1023	0.018945894395529	13201000	100
20220423 213526	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	19	TRUE	0.299547529269202	0.99693013004991	8000	527	0.0140733988998986	12700000	101
20220423 213831	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	559	TRUE	0.0107746883010909	0.953191040408612	4304	1024	0.0170287159336805	13524000	102
20220423 213846	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	19	TRUE	0.261136145379459	0.803701773324364	7313	973	0.0196929873666055	13561000	103
20220423 214204	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	630	TRUE	0.0103708802877513	0.713454153340403	4387	747	0.0163233241868633	13394000	104
20220423 214240	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	75	TRUE	0.0838573285243576	0.312534253065355	4347	1024	0.0155639258095892	13684000	105
20220423 214616	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	259	TRUE	0.0108290824468461	0.975721749387499	1691	233	0.0145046687147475	13670000	106
20220423 214629	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	13	TRUE	0.299962833458659	0.673689872896287	8000	456	0.0211341662806384	12742000	107
20220423 214646	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	36	TRUE	0.21840733778264	0.859548207869782	7470	478	0.0177626506499315	13486000	108
20220423 215210	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	469	TRUE	0.0102030543806253	0.998389239250259	1379	694	0.0144952007155113	13493000	109
20220423 215627	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	455	TRUE	0.0100827136310561	0.223191834400388	1772	953	0.0172185321341373	13837000	110
20220423 215954	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	434	TRUE	0.0100845399502796	0.795879633505037	2750	419	0.0169694916929211	13739000	111
20220423 220508	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	616	TRUE	0.0102839503170953	0.293310935998755	1792	799	0.0147209568126027	14105000	112
20220423 220736	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	405	TRUE	0.0136911011528066	0.345222756755794	4609	1024	0.0238911641257859	12616000	113
20220423 221400	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	909	TRUE	0.010009795857776	0.247284924781667	1772	820	0.0123689112598463	13797000	114
20220423 221417	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	32	TRUE	0.205335589138448	0.811372351513577	7999	888	0.0158146212113481	13488000	115
20220423 221638	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	698	TRUE	0.0101467884579341	0.202496759250583	1557	17	0.0492263310623326	8087000	116
20220423 221655	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	15	TRUE	0.0846260263577876	0.978570573343479	733	19	0.0114182213121695	13258000	117
20220423 222128	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	524	TRUE	0.0103131151489471	0.300030261176316	1924	800	0.0164831147964762	13827000	118
20220423 222517	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	316	TRUE	0.0105823882732395	0.294905025806138	1724	583	0.0146025980979843	13943000	119
20220423 223029	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	545	TRUE	0.0100131021748881	0.303734579307217	1657	942	0.0146754931179097	13871000	120
