min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
50	12	-0.75	4	28.89	8939333
50	12	-0.75	6	40.97	10130000
50	12	-0.75	8	52.99	9385333
50	12	-0.75	10	64.07	7997333
50	12	-0.75	15	86.36	5477333
50	12	-0.75	20	98.1	3895333
50	12	-0.5	4	28.65	8939333
50	12	-0.5	6	39.36	10130000
50	12	-0.5	8	51.62	9385333
50	12	-0.5	10	62.36	7997333
50	12	-0.5	15	85.83	5477333
50	12	-0.5	20	98.19	3895333
50	12	-0.25	4	28.04	8939333
50	12	-0.25	6	40.87	10130000
50	12	-0.25	8	52.14	9385333
50	12	-0.25	10	63.6	7997333
50	12	-0.25	15	87.02	5477333
50	12	-0.25	20	99.7	3895333
50	12	0	4	28	0
50	12	0	6	40.23	0
50	12	0	8	51.88	0
50	12	0	10	63.43	0
50	12	0	15	84.09	5016000
50	12	0	20	95.87	5016000
50	12	0.001	4	28.4	0
50	12	0.001	6	39.87	0
50	12	0.001	8	51.65	0
50	12	0.001	10	63.75	0
50	12	0.001	15	82.93	0
50	12	0.001	20	91.95	0
50	12	0.002	4	28.4	0
50	12	0.002	6	40.63	0
50	12	0.002	8	51.61	0
50	12	0.002	10	60.04	0
50	12	0.002	15	73.75	0
50	12	0.002	20	81.24	0
50	12	0.003	4	28.3	0
50	12	0.003	6	40.57	0
50	12	0.003	8	49.86	0
50	12	0.003	10	55.48	0
50	12	0.003	15	66.84	0
50	12	0.003	20	70.61	0
50	12	0.004	4	27.89	0
50	12	0.004	6	39.23	0
50	12	0.004	8	47.37	0
50	12	0.004	10	53.47	0
50	12	0.004	15	62.56	0
50	12	0.004	20	64.4	0
50	12	0.005	4	28.95	0
50	12	0.005	6	38.27	0
50	12	0.005	8	45.61	0
50	12	0.005	10	49.59	0
50	12	0.005	15	55.76	0
50	12	0.005	20	56.82	0
50	12	0.006	4	28.24	0
50	12	0.006	6	37.52	0
50	12	0.006	8	42.52	0
50	12	0.006	10	47.77	0
50	12	0.006	15	53.46	0
50	12	0.006	20	54.43	0
50	12	0.007	4	27.86	0
50	12	0.007	6	36.09	0
50	12	0.007	8	40.86	0
50	12	0.007	10	46.43	0
50	12	0.007	15	49.48	0
50	12	0.007	20	50.78	0
50	12	0.008	4	28.12	0
50	12	0.008	6	35.98	0
50	12	0.008	8	41.55	0
50	12	0.008	10	45.39	0
50	12	0.008	15	48.16	0
50	12	0.008	20	49.32	0
50	12	0.009	4	28.33	0
50	12	0.009	6	35.16	0
50	12	0.009	8	40.58	0
50	12	0.009	10	43.68	0
50	12	0.009	15	45.58	0
50	12	0.009	20	46.61	0
50	12	0.01	4	28.05	0
50	12	0.01	6	34.65	0
50	12	0.01	8	40.02	0
50	12	0.01	10	43.48	0
50	12	0.01	15	44.58	0
50	12	0.01	20	44.85	0
50	25	-1	4	29.18	9126000
50	25	-1	6	41.98	9761333
50	25	-1	8	52.72	8741333
50	25	-1	10	63.74	7261333
50	25	-1	15	82.78	4766667
50	25	-1	20	91.44	3937333
50	25	-0.75	4	28.81	9126000
50	25	-0.75	6	41.43	9761333
50	25	-0.75	8	52.38	8741333
50	25	-0.75	10	63.82	7261333
50	25	-0.75	15	82.97	4766667
50	25	-0.75	20	91.66	3937333
50	25	-0.5	4	28.96	9126000
50	25	-0.5	6	41.31	9761333
50	25	-0.5	8	52.38	8741333
50	25	-0.5	10	64.08	7261333
50	25	-0.5	15	83.76	4766667
50	25	-0.5	20	91.05	3937333
50	25	-0.25	4	28.82	9126000
50	25	-0.25	6	39.99	9761333
50	25	-0.25	8	51.88	8741333
50	25	-0.25	10	64.48	7261333
50	25	-0.25	15	81.69	4766667
50	25	-0.25	20	90.6	3937333
50	25	0	4	27.45	0
50	25	0	6	39.55	0
50	25	0	8	50.88	0
50	25	0	10	61.62	0
50	25	0	15	77.37	0
50	25	0	20	87.21	0
50	25	0.001	4	27.52	0
50	25	0.001	6	39.58	0
50	25	0.001	8	51.76	0
50	25	0.001	10	62.36	0
50	25	0.001	15	76.65	0
50	25	0.001	20	82.86	0
50	25	0.002	4	28.44	0
50	25	0.002	6	40.37	0
50	25	0.002	8	50.74	0
50	25	0.002	10	58.25	0
50	25	0.002	15	67.25	0
50	25	0.002	20	72.47	0
50	25	0.003	4	28.03	0
50	25	0.003	6	39.52	0
50	25	0.003	8	49.3	0
50	25	0.003	10	54.06	0
50	25	0.003	15	61.92	0
50	25	0.003	20	65.36	0
50	25	0.004	4	27.92	0
50	25	0.004	6	39.22	0
50	25	0.004	8	46.54	0
50	25	0.004	10	51.02	0
50	25	0.004	15	57.71	0
50	25	0.004	20	58.14	0
50	25	0.005	4	28.69	0
50	25	0.005	6	37.79	0
50	25	0.005	8	43.98	0
50	25	0.005	10	47.42	0
50	25	0.005	15	53	0
50	25	0.005	20	52.98	0
50	25	0.006	4	27.95	0
50	25	0.006	6	36.61	0
50	25	0.006	8	42.56	0
50	25	0.006	10	46.64	0
50	25	0.006	15	49.23	0
50	25	0.006	20	49.07	0
50	25	0.007	4	27.39	0
50	25	0.007	6	34.92	0
50	25	0.007	8	39.25	0
50	25	0.007	10	43.45	0
50	25	0.007	15	45.73	0
50	25	0.007	20	46.49	0
50	25	0.008	4	27.26	0
50	25	0.008	6	35.13	0
50	25	0.008	8	39.5	0
50	25	0.008	10	42.45	0
50	25	0.008	15	44.64	0
50	25	0.008	20	44.45	0
50	25	0.009	4	26.84	0
50	25	0.009	6	33.1	0
