min_split	min_bucket	cp	max_depth	t0	t1	t_seg	ganancia_promedio
600	10	1e-04	3	23:54:46	23:55:54	67.3103849887848	0
650	10	1e-04	3	23:54:46	23:55:54	67.3313810825348	0
700	10	1e-04	3	23:54:46	23:55:54	67.3963348865509	0
750	10	1e-04	3	23:54:46	23:55:54	67.4682970046997	0
50	15	1e-04	3	23:55:55	23:57:01	65.8382391929626	0
150	15	1e-04	3	23:55:55	23:57:01	66.3089640140533	0
900	10	1e-04	3	23:55:55	23:57:02	66.6307830810547	0
100	15	1e-04	3	23:55:55	23:57:02	67.117504119873	0
200	15	1e-04	3	23:55:55	23:57:02	67.3613641262054	0
1000	10	1e-04	3	23:55:55	23:57:02	67.4752931594849	0
950	10	1e-04	3	23:55:55	23:57:03	67.7181539535522	0
25	15	1e-04	3	23:55:55	23:57:03	67.7621290683746	0
400	15	1e-04	3	23:57:05	23:58:11	66.1300699710846	0
600	15	1e-04	3	23:57:05	23:58:12	66.8496510982513	0
500	15	1e-04	3	23:57:05	23:58:13	67.6891739368439	0
450	15	1e-04	3	23:57:05	23:58:13	67.7021658420563	0
550	15	1e-04	3	23:57:05	23:58:13	67.737144947052	0
250	15	1e-04	3	23:57:05	23:58:13	67.9810039997101	0
350	15	1e-04	3	23:57:05	23:58:13	67.984001159668	0
300	15	1e-04	3	23:57:05	23:58:13	68.0749490261078	0
850	15	1e-04	3	23:58:14	23:59:20	65.7822670936584	0
750	15	1e-04	3	23:58:14	23:59:20	65.9301829338074	0
900	15	1e-04	3	23:58:14	23:59:21	67.1035079956055	0
700	15	1e-04	3	23:58:14	23:59:21	67.1244969367981	0
1000	15	1e-04	3	23:58:14	23:59:21	67.2664158344269	0
950	15	1e-04	3	23:58:14	23:59:21	67.3713619709015	0
650	15	1e-04	3	23:58:14	23:59:22	67.5952250957489	0
800	15	1e-04	3	23:58:14	23:59:22	67.5922250747681	0
200	20	1e-04	3	23:59:23	00:00:30	66.5808069705963	0
