min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
50	25	0.05	4	27.14	0
50	25	0.05	6	27.67	0
50	25	0.05	8	27.27	0
50	25	0.05	10	28.07	0
50	25	0.05	15	27.36	0
50	25	0.05	20	28.49	0
50	25	0.06	4	24.9	0
50	25	0.06	6	25.73	0
50	25	0.06	8	24.82	0
50	25	0.06	10	25.13	0
50	25	0.06	15	24.96	0
50	25	0.06	20	25.42	0
50	25	0.07	4	23.17	0
50	25	0.07	6	23.91	0
50	25	0.07	8	23.19	0
50	25	0.07	10	23.98	0
50	25	0.07	15	23.9	0
50	25	0.07	20	23.86	0
50	25	0.08	4	23.4	0
50	25	0.08	6	23.22	0
50	25	0.08	8	23.75	0
50	25	0.08	10	23.05	0
50	25	0.08	15	23.41	0
50	25	0.08	20	23.42	0
50	25	0.09	4	22.58	0
50	25	0.09	6	22.03	0
50	25	0.09	8	22.63	0
50	25	0.09	10	22.09	0
50	25	0.09	15	22.72	0
50	25	0.09	20	22.5	0
50	25	0.1	4	19.37	0
50	25	0.1	6	20.76	0
50	25	0.1	8	20.49	0
50	25	0.1	10	20.88	0
50	25	0.1	15	20.14	0
50	25	0.1	20	20.35	0
50	25	0.15	4	18.28	0
50	25	0.15	6	17.88	0
50	25	0.15	8	17.4	0
50	25	0.15	10	18.53	0
50	25	0.15	15	18.23	0
50	25	0.15	20	17.47	0
100	5	-1	4	28.55	9016000
100	5	-1	6	39.49	10084667
100	5	-1	8	51.64	10056000
100	5	-1	10	62.64	9545333
100	5	-1	15	86.65	7066667
100	5	-1	20	100.94	4849333
100	5	0	4	28.41	0
100	5	0	6	38.37	1282000
100	5	0	8	50.73	4539333
100	5	0	10	62.83	8186000
100	5	0	15	85.03	8417333
100	5	0	20	98.67	8602667
100	5	0.01	4	28.17	0
100	5	0.01	6	34.89	0
100	5	0.01	8	41.33	0
100	5	0.01	10	45.67	0
100	5	0.01	15	48.19	0
100	5	0.01	20	49.23	0
100	5	0.02	4	27.54	0
100	5	0.02	6	34.88	0
100	5	0.02	8	39.42	0
100	5	0.02	10	40.17	0
100	5	0.02	15	39.32	0
100	5	0.02	20	39.68	0
100	5	0.03	4	27.8	0
100	5	0.03	6	34.76	0
100	5	0.03	8	34.5	0
100	5	0.03	10	34.91	0
100	5	0.03	15	34.54	0
100	5	0.03	20	34.65	0
100	5	0.04	4	28.42	0
100	5	0.04	6	30.87	0
100	5	0.04	8	31.75	0
100	5	0.04	10	30.98	0
100	5	0.04	15	32.02	0
100	5	0.04	20	31.22	0
100	5	0.05	4	28.05	0
100	5	0.05	6	28.26	0
100	5	0.05	8	29.32	0
100	5	0.05	10	29.66	0
100	5	0.05	15	28.7	0
100	5	0.05	20	29.11	0
100	5	0.06	4	25.95	0
100	5	0.06	6	26.63	0
100	5	0.06	8	26.66	0
100	5	0.06	10	27	0
100	5	0.06	15	26.18	0
100	5	0.06	20	26.99	0
100	5	0.07	4	24.12	0
100	5	0.07	6	24.7	0
100	5	0.07	8	24.01	0
100	5	0.07	10	24.48	0
100	5	0.07	15	24.22	0
100	5	0.07	20	24.91	0
100	5	0.08	4	23.56	0
100	5	0.08	6	23.86	0
100	5	0.08	8	23.89	0
100	5	0.08	10	25.18	0
100	5	0.08	15	24.52	0
100	5	0.08	20	24.46	0
100	5	0.09	4	22.3	0
100	5	0.09	6	23.1	0
100	5	0.09	8	23.21	0
100	5	0.09	10	22.57	0
100	5	0.09	15	23.44	0
100	5	0.09	20	22.92	0
